StudentRouteStopMapIID,StudentID,PickupStopMapID,DropStopMapID,IsOneWay,PickupRouteID,DropStopRouteID,SchoolID,AcademicYearID,TransportStatusID,ClassID,SectionID
36504,17643,121999.0,121999.0,False,40901.0,40901.0,30,31,1.0,1.0,23.0
36505,16859,121998.0,121998.0,False,40901.0,40901.0,30,31,1.0,18.0,8.0
36506,16860,121998.0,121998.0,False,40901.0,40901.0,30,31,1.0,7.0,8.0
36507,18547,121547.0,121547.0,,40888.0,40888.0,30,31,,18.0,11.0
36508,18441,121547.0,121547.0,,40888.0,40888.0,30,31,,36.0,10.0
36509,18557,121554.0,121554.0,,40890.0,40890.0,30,31,,18.0,11.0
36511,4218,121513.0,121513.0,,40879.0,40879.0,30,31,,10.0,23.0
36513,18588,121547.0,121547.0,,40888.0,40888.0,30,31,,1.0,26.0
36515,17907,121584.0,121584.0,,40897.0,40897.0,30,31,,33.0,8.0
36516,16674,121475.0,121475.0,,40870.0,40870.0,30,31,,1.0,27.0
36517,4040,121475.0,121475.0,,40870.0,40870.0,30,31,,15.0,21.0
36518,18468,121524.0,121524.0,,40882.0,40882.0,30,31,,1.0,27.0
36520,18515,121610.0,121610.0,,40905.0,40905.0,30,31,,11.0,8.0
36522,18491,121470.0,121470.0,,40868.0,40868.0,30,31,,10.0,7.0
36529,1052,121602.0,121602.0,,40903.0,40903.0,30,31,,28.0,7.0
36530,17215,121602.0,121602.0,,40903.0,40903.0,30,31,,36.0,8.0
36533,17863,121472.0,121472.0,,40869.0,40869.0,30,31,,33.0,7.0
36534,17854,121911.0,121911.0,False,40865.0,40865.0,30,31,1.0,33.0,7.0
36535,17965,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,33.0,10.0
36536,3553,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,18.0,22.0
36537,4822,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,21.0,10.0
36538,5258,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,18.0,11.0
36539,4280,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,18.0,8.0
36541,16214,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,28.0,11.0
36542,4821,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,15.0,10.0
36543,3299,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,15.0,9.0
36544,2895,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,15.0,8.0
36545,5236,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,31.0,21.0
36546,1733,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,23.0,21.0
36547,5235,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,23.0,8.0
36548,1331,121911.0,121911.0,False,40865.0,40865.0,30,31,1.0,23.0,11.0
36549,17725,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,23.0,10.0
36550,17673,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,23.0,7.0
36551,5211,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,23.0,7.0
36552,18579,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,11.0,7.0
36553,17726,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,11.0,23.0
36554,4164,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,10.0,11.0
36555,4279,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,11.0,8.0
36556,3740,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,10.0,8.0
36557,16237,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,1.0,10.0
36558,6115,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,1.0,25.0
36559,17912,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,33.0,9.0
36560,16351,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,18.0,21.0
36561,18417,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,33.0,7.0
36562,18191,121911.0,121911.0,False,40865.0,40865.0,30,31,2.0,1.0,26.0
36563,1154,121911.0,121911.0,False,40865.0,40865.0,30,31,1.0,6.0,8.0
36564,1256,121911.0,121911.0,False,40865.0,40865.0,30,31,1.0,6.0,7.0
36565,4468,121625.0,121625.0,,40908.0,40908.0,30,31,,10.0,11.0
36569,17409,121448.0,121448.0,,40864.0,40864.0,30,31,,15.0,10.0
36570,18100,121986.0,121986.0,,40881.0,40881.0,30,31,,33.0,11.0
36572,17926,121451.0,121451.0,,40864.0,40864.0,30,31,,33.0,10.0
36574,18678,121532.0,121532.0,,40884.0,40884.0,30,31,,23.0,21.0
36579,18675,121525.0,121525.0,,40882.0,40882.0,30,31,,28.0,10.0
36580,17871,121633.0,121633.0,,40911.0,40911.0,30,31,,33.0,7.0
