RouteStopMapIID,RouteID,StopName,Longitude,Latitude,geocode_lat,geocode_lon,final_lat,final_lon
121491,40874,RAWDAT AL KHAIL STREET,,,25.2741878,51.5276351,25.2741878,51.5276351
121492,40875,EZDAN 23,,,25.1612758,51.5539274,25.1612758,51.5539274
121493,40875,EZDAN 24,,,25.1608591,51.5510759,25.1608591,51.5510759
121494,40875,WUKAIR,,,25.1759556,51.5673439,25.1759556,51.5673439
121495,40875,EZDAN 21,,,25.161727,51.5538442,25.161727,51.5538442
121496,40875,EZDAN 22,,,25.1627243,51.5514381,25.1627243,51.5514381
121497,40875,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121498,40876,THUMAMA,,,25.665219,51.5059239,25.665219,51.5059239
121499,40876,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121500,40876,NEW THUMAMA (BHND FREE ZONE),,,0.0,0.0,,
121501,40876,THUMAMA (HEALTH CENTRE SIDE),,,0.0,0.0,,
121505,40877,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121506,40878,DOHA JADEED,,,25.2737445,51.5001823,25.2737445,51.5001823
121507,40878,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121508,40878,OLD GHANIM,,,25.2812509,51.5356481,25.2812509,51.5356481
121509,40878,BEHIND KEO,,,25.2688373,51.5515128,25.2688373,51.5515128
121511,40879,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121512,40879,WAKRAH SOUTH,,,0.0,0.0,,
121513,40879,WAKRAH (OOREDOO),,,0.0,0.0,,
121514,40880,GHARAFA,,,25.3447465,51.4404612,25.3447465,51.4404612
121515,40880,LUQTA,,,25.3200083,51.4660272,25.3200083,51.4660272
121516,40880,RAYYAN,,,24.9304741,50.9776888,24.9304741,50.9776888
121517,40880,BANI HAJR,,,25.3170873,51.3970003,25.3170873,51.3970003
121518,40880,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121519,40880,SHABIYAT KHALIFA,,,0.0,0.0,,
121521,40881,BARWA CITY,,,25.1955552,51.5040255,25.1955552,51.5040255
121522,40881,MESAEMER,,,0.0,0.0,,
121523,40881,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121524,40882,MADINAT KHALIFA SOUTH,,,25.3143376,51.4801011,25.3143376,51.4801011
