School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),18,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",237359,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",237359,AM (Pickup),2,NUAIJA (Part 7),PICK UP,3,1,4,5.66,7.2
"PODAR PEARL SCHOOL, AL MESHAF",237359,AM (Pickup),3,NUAIJA (Part 8),PICK UP,3,1,4,5.66,7.2
"PODAR PEARL SCHOOL, AL MESHAF",237359,AM (Pickup),4,MAMOURA (Part 1),PICK UP,3,3,5,5.93,8.0
"PODAR PEARL SCHOOL, AL MESHAF",237359,AM (Pickup),5,MAMOURA (Part 4),PICK UP,2,2,4,5.93,8.0
"PODAR PEARL SCHOOL, AL MESHAF",237359,AM (Pickup),6,MAMOURA (Part 3),PICK UP,2,2,4,5.93,8.0
"PODAR PEARL SCHOOL, AL MESHAF",237359,AM (Pickup),7,MAMOURA (Part 2),PICK UP,2,2,5,5.93,8.0
"PODAR PEARL SCHOOL, AL MESHAF",237359,AM (Pickup),8,SCHOOL,DROP OFF,0,0,0,11.33,15.1
"PODAR PEARL SCHOOL, AL MESHAF",237359,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",237359,PM (Drop-off),2,MAMOURA (Part 2),DROP OFF,2,2,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",237359,PM (Drop-off),3,MAMOURA (Part 3),DROP OFF,2,2,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",237359,PM (Drop-off),4,MAMOURA (Part 4),DROP OFF,2,2,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",237359,PM (Drop-off),5,MAMOURA (Part 1),DROP OFF,3,3,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",237359,PM (Drop-off),6,NUAIJA (Part 8),DROP OFF,3,1,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",237359,PM (Drop-off),7,NUAIJA (Part 7),DROP OFF,3,1,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",237359,PM (Drop-off),8,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",225201,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",225201,AM (Pickup),2,SOUQ AL HARAJ (Part 1),PICK UP,1,2,3,3.29,5.1
"PODAR PEARL SCHOOL, AL MESHAF",225201,AM (Pickup),3,SOUQ AL HARAJ (Part 2),PICK UP,1,2,3,3.29,5.1
